SAL_ID,Suburb_Name,SAL_CODE_2021,Population,Median_Age,Median_Rent_Weekly,Median_Income_Weekly,HH_Size,Postcode,Median_House_Price,One_Year_Growth_Pct,School_Count,Commute_Time_Mins,Parks_Count,Rental_Yield_Pct,State
SAL10107,Auburn (NSW),SAL10107,39333,31,410,1533,3.3,2144,2084398,-0.03,9,41,15,1.02,NSW
SAL10108,Auburn Vale,SAL10108,127,47,335,1812,2.8,2360,987879,6.96,2,30,13,1.76,NSW
SAL10109,Austinmer,SAL10109,2725,42,550,2586,2.8,2515,1064685,-0.94,3,19,10,2.69,NSW
SAL10110,Austral,SAL10110,6847,31,520,2168,3.1,2179,1282038,5.07,14,26,11,2.11,NSW
SAL10111,Austral Eden,SAL10111,145,52,260,1375,2.7,2440,1902107,3,14,40,11,0.71,NSW
SAL10112,Avalon Beach,SAL10112,10379,46,700,2481,2.8,2107,1811736,6.7,8,29,2,2.01,NSW
SAL10113,Avisford,SAL10113,45,50,380,1124,2.4,2850,1507293,-0.74,2,17,7,1.31,NSW
SAL10114,Avoca (NSW),SAL10114,208,54,330,2250,2.7,2577,1079879,4.78,8,23,15,1.59,NSW
SAL10115,Avoca Beach,SAL10115,4708,43,530,2358,2.8,2251,1769460,3.72,5,42,10,1.56,NSW
SAL10116,Avon (NSW),SAL10116,0,0,0,0,0,2574,523247,2.8,6,53,13,0,NSW
SAL10117,Avondale (NSW),SAL10117,1695,40,300,1524,2.4,2530,1572876,2.91,14,50,13,0.99,NSW
SAL10118,Avonside,SAL10118,157,47,500,2250,2.7,2628,2015857,5.22,10,39,14,1.29,NSW
SAL10119,Awaba,SAL10119,430,40,300,1726,2.8,2283,1107086,7.38,12,55,4,1.41,NSW
SAL10120,Aylmerton,SAL10120,195,51,430,1825,2.3,2575,1033556,-1.09,4,42,12,2.16,NSW
SAL10121,Baan Baa,SAL10121,166,47,300,1770,2.5,2390,1897527,-1.8,3,35,3,0.82,NSW
SAL10122,Babinda (NSW),SAL10122,14,59,200,1875,1.9,2825,1822905,6.06,8,43,19,0.57,NSW
SAL10123,Babyl Creek,SAL10123,4,64,0,575,1,2470,2267640,-0.92,9,39,19,0,NSW
SAL10124,Back Creek (Bland - NSW),SAL10124,54,29,133,2250,3.4,2671,1242139,7.87,13,44,10,0.56,NSW
SAL10125,Back Creek (Gwydir - NSW),SAL10125,20,42,0,2250,3.6,2390,932315,4.19,8,53,2,0,NSW
SAL10126,Back Creek (Mid-Coast - NSW),SAL10126,20,62,0,1375,2.4,2422,1426075,4.51,9,25,17,0,NSW
SAL10127,Back Creek (Queanbeyan-Palerang Regional - NSW),SAL10127,7,60,380,900,1.8,2622,1016588,-0.01,1,33,2,1.94,NSW
SAL10128,Back Creek (Tenterfield - NSW),SAL10128,4,69,81,575,1,2372,1785160,0.4,5,25,6,0.24,NSW
SAL10129,Back Creek (Tweed - NSW),SAL10129,27,48,350,1062,2.6,2484,2110908,4.59,12,39,18,0.86,NSW
SAL10130,Back Forest,SAL10130,91,56,252,1374,2.9,2535,2386222,7.1,7,15,9,0.55,NSW
SAL10131,Backmede,SAL10131,153,46,276,1843,2.8,2470,1478732,7.82,8,46,7,0.97,NSW
SAL10132,Backwater,SAL10132,19,64,0,900,1.9,2365,1925472,-0.02,14,35,2,0,NSW
SAL10133,Badgerys Creek,SAL10133,168,40,505,1271,3,2555,548984,-0.66,11,59,14,4.78,NSW
SAL10134,Badja,SAL10134,9,74,0,1187,1.7,2630,802918,-1.44,2,27,19,0,NSW
SAL10135,Baerami,SAL10135,93,48,245,1208,2.5,2333,764712,6.68,12,48,5,1.67,NSW
SAL10136,Baerami Creek,SAL10136,27,41,250,1416,2.6,2333,1668727,0.95,11,31,16,0.78,NSW
SAL10137,Bagnoo,SAL10137,43,59,275,1437,2.3,2446,2004384,-1.98,14,33,15,0.71,NSW
SAL10138,Bago,SAL10138,45,37,345,2083,3.4,2446,633767,0.24,4,24,17,2.83,NSW
SAL10139,Bagotville,SAL10139,60,50,450,1749,2.4,2477,1148663,1.4,7,56,6,2.04,NSW
SAL10140,Bakers Creek (Mid-Coast - NSW),SAL10140,41,52,250,1375,2.6,2422,2252126,7.91,5,23,2,0.58,NSW
SAL10141,Bakers Creek (Nambucca Valley - NSW),SAL10141,24,57,100,366,1.5,2447,636330,3.24,1,25,5,0.82,NSW
SAL10142,Bakers Creek (Uralla - NSW),SAL10142,13,59,0,1937,2.3,2359,980754,0.05,13,52,18,0,NSW
SAL10143,Bakers Swamp,SAL10143,60,49,180,1791,2.2,2820,1850224,1.35,14,45,7,0.51,NSW
SAL10144,Balaclava (NSW),SAL10144,574,40,500,2023,2.9,2575,2237095,1.3,2,16,5,1.16,NSW
SAL10145,Balala,SAL10145,122,56,175,1375,2.2,2358,513986,-1.8,5,38,8,1.77,NSW
SAL10146,Balcolyn,SAL10146,1002,43,390,1525,2.5,2264,1086146,-0.65,6,56,2,1.87,NSW
SAL10147,Bald Blair,SAL10147,53,34,300,1416,3.1,2365,1677888,4.95,1,19,11,0.93,NSW
SAL10148,Bald Hills (NSW),SAL10148,321,44,375,1487,2.7,2549,512666,-0.8,12,44,14,3.8,NSW
SAL10149,Bald Nob,SAL10149,20,44,205,1375,2.7,2370,1849380,0.31,3,53,10,0.58,NSW
SAL10150,Bald Ridge,SAL10150,17,25,200,1574,2.5,2795,634633,1.51,6,49,15,1.64,NSW
SAL10151,Baldersleigh,SAL10151,55,49,0,1562,2.2,2365,788998,5.58,6,31,2,0,NSW
SAL10152,Baldry,SAL10152,67,37,171,1625,3,2867,1350937,3.82,7,45,10,0.66,NSW
SAL10153,Balfours Peak,SAL10153,45,43,225,1012,3,2403,1128776,4.89,10,16,7,1.04,NSW
SAL10154,Balgowlah,SAL10154,8068,41,640,2681,2.5,2093,2256187,3.67,12,30,11,1.48,NSW
SAL10155,Balgowlah Heights,SAL10155,3546,43,1320,4687,3.3,2093,1833382,4.84,14,35,12,3.74,NSW
SAL10156,Balgownie,SAL10156,5722,42,450,1912,2.6,2519,2343400,-1.97,14,44,8,1,NSW
SAL10157,Balickera,SAL10157,18,37,100,2749,3.5,2324,1579111,7.31,3,15,13,0.33,NSW
SAL10158,Balladoran,SAL10158,140,48,150,1350,2.8,2822,1496107,-0.89,1,28,13,0.52,NSW
SAL10159,Ballalaba,SAL10159,29,52,255,1125,2.3,2622,1924289,2.06,13,30,15,0.69,NSW
SAL10160,Balldale,SAL10160,168,47,100,1218,2.3,2646,1338688,5.71,7,23,11,0.39,NSW
SAL10161,Ballengarra,SAL10161,97,45,400,1483,2.9,2441,851279,2.35,12,22,17,2.44,NSW
SAL10162,Ballimore,SAL10162,240,43,240,1857,2.6,2830,1413910,7.47,11,23,5,0.88,NSW
SAL10163,Ballina,SAL10163,9735,56,360,1013,2,2478,2370230,2.68,3,48,15,0.79,NSW
SAL10164,Ballyroe,SAL10164,3,54,0,725,1,2795,2150237,6.75,5,59,3,0,NSW
SAL10165,Balmain,SAL10165,10454,42,625,3039,2.2,2041,2196548,6.11,4,47,3,1.48,NSW
SAL10166,Balmain East,SAL10166,1900,46,617,3020,2.2,2041,989570,7.81,12,36,12,3.24,NSW
SAL10167,Balmoral (Lake Macquarie - NSW),SAL10167,730,45,380,1931,2.6,2283,2005127,7.27,1,44,12,0.99,NSW
SAL10168,Balmoral (Wingecarribee - NSW),SAL10168,469,43,415,2147,3,2571,1821685,6.98,12,21,7,1.18,NSW
SAL10169,Balranald,SAL10169,1240,47,200,1197,2.3,2715,524538,5.32,7,32,4,1.98,NSW
SAL10170,Bamarang,SAL10170,35,53,260,949,2.8,2540,1394498,1.67,14,35,10,0.97,NSW
SAL10171,Banda Banda,SAL10171,0,0,0,0,0,2446,701664,-0.94,13,19,4,0,NSW
SAL10172,Bandon Grove,SAL10172,135,51,272,1624,2.8,2420,991234,4.89,4,21,2,1.43,NSW
SAL10173,Bangadang,SAL10173,11,23,0,1499,3.5,2729,2448260,7.79,1,26,3,0,NSW
SAL10174,Bangalee (NSW),SAL10174,818,46,450,2181,2.9,2541,639182,5.27,11,31,16,3.66,NSW
SAL10175,Bangalow,SAL10175,2752,40,650,2097,2.7,2479,2021101,7.29,6,38,12,1.67,NSW
SAL10176,Bangheet,SAL10176,37,56,0,1562,2,2404,1706914,6.04,4,51,9,0,NSW
SAL10177,Bango,SAL10177,122,43,650,2625,2.6,2582,684064,-0.37,13,58,17,4.94,NSW
SAL10178,Bangor (NSW),SAL10178,5536,43,650,2626,2.9,2234,714020,0.49,4,33,18,4.73,NSW
SAL10179,Banksia,SAL10179,3277,41,500,2018,2.8,2216,1539577,1.42,2,59,4,1.69,NSW
SAL10180,Banksmeadow,SAL10180,508,33,620,2225,2,2019,1123094,-0.32,1,30,9,2.87,NSW
SAL10181,Bankstown,SAL10181,34933,34,400,1331,2.9,2200,2472990,3.82,3,39,8,0.84,NSW
SAL10182,Bankstown Aerodrome,SAL10182,5,69,225,1999,2,2200,1397421,7.75,10,41,4,0.84,NSW
SAL10183,Bannaby,SAL10183,47,52,0,1125,2.2,2580,1115270,5.61,5,56,8,0,NSW
SAL10184,Bannister (NSW),SAL10184,141,52,660,2250,2.4,2580,2194490,2.23,12,58,6,1.56,NSW
SAL10185,Banoon,SAL10185,19,52,150,1208,2,2347,1667752,-1.95,9,21,2,0.47,NSW
SAL10186,Banora Point,SAL10186,16460,49,440,1268,2.4,2486,1417710,1.13,14,56,6,1.61,NSW
SAL10187,Banyabba,SAL10187,31,56,450,1312,2.1,2460,1766702,3.27,7,22,4,1.32,NSW
SAL10188,Bar Beach,SAL10188,1292,41,393,2300,2.3,2300,718969,1.24,4,29,19,2.84,NSW
SAL10189,Bar Point,SAL10189,122,52,300,1125,1.7,2083,622409,-0.89,8,30,11,2.51,NSW
SAL10190,Bara,SAL10190,19,51,280,1125,1.8,2850,2096283,2.43,12,22,5,0.69,NSW
SAL10191,Baradine,SAL10191,783,50,157,1034,2.2,2396,753618,0.53,4,50,14,1.08,NSW
SAL10192,Barangaroo,SAL10192,220,40,1246,4591,1.8,2000,1269598,7.09,6,46,2,5.1,NSW
SAL10193,Barcoongere,SAL10193,0,25,0,0,0,2460,1598591,-0.98,12,31,5,0,NSW
SAL10194,Barden Ridge,SAL10194,4129,41,685,3134,3.3,2234,1272838,-1.51,1,50,10,2.8,NSW
SAL10195,Bardia,SAL10195,5747,30,550,2417,3.5,2565,1670672,-1.95,14,36,18,1.71,NSW
SAL10196,Bardwell Park,SAL10196,2320,42,550,2386,2.8,2207,2179923,1.28,6,46,12,1.31,NSW
SAL10197,Bardwell Valley,SAL10197,2344,42,550,2099,2.9,2207,1733916,4.6,10,25,8,1.65,NSW
SAL10198,Barellan,SAL10198,459,48,200,1262,2.2,2665,1659263,5.3,5,59,8,0.63,NSW
SAL10199,Bargo,SAL10199,4516,41,410,1736,2.8,2574,1374371,2.53,14,20,14,1.55,NSW
SAL10200,Barham,SAL10200,1569,58,185,995,2.1,2732,1959933,4.84,2,36,18,0.49,NSW
SAL10201,Barigan,SAL10201,0,0,0,0,0,2850,1235716,1.6,1,28,19,0,NSW
SAL10202,Barkers Vale,SAL10202,196,50,260,784,2.4,2474,1654454,4.68,13,42,14,0.82,NSW
SAL10203,Barmedman,SAL10203,404,48,190,864,2.4,2668,2275846,-1.59,6,53,18,0.43,NSW
SAL10204,Barneys Reef,SAL10204,0,0,0,0,0,2852,1473548,1.91,11,26,19,0,NSW
SAL10205,Barnsley,SAL10205,1735,39,360,1784,2.7,2278,1746862,5.91,2,41,3,1.07,NSW
SAL10206,Barooga,SAL10206,1888,46,260,1375,2.3,3644,1273290,6.03,9,15,16,1.06,VIC
SAL10207,Barraba,SAL10207,1329,58,195,776,1.9,2347,2323260,5.16,9,24,10,0.44,NSW
SAL10208,Barrack Heights,SAL10208,6003,41,380,1340,2.5,2528,1713475,0.04,1,47,15,1.15,NSW
SAL10209,Barrack Point,SAL10209,725,48,480,1836,2.6,2528,1873343,0.47,5,30,9,1.33,NSW
SAL10210,Barraganyatti,SAL10210,150,45,310,1149,2.6,2441,1499238,7.96,8,53,13,1.08,NSW
SAL10211,Barragga Bay,SAL10211,91,63,242,1187,2.1,2546,1361882,-0.97,4,20,18,0.92,NSW
SAL10212,Barratta (NSW),SAL10212,12,41,0,2249,1.8,2710,2428434,-0.19,3,39,13,0,NSW
SAL10213,Barren Grounds,SAL10213,0,0,0,0,0,2577,879989,-0.7,5,34,16,0,NSW
SAL10214,Barrengarry,SAL10214,214,50,415,2062,2.5,2577,915515,1.28,5,50,6,2.36,NSW
SAL10215,Barretts Creek,SAL10215,12,55,180,749,3,2460,543585,0.1,8,37,3,1.72,NSW
SAL10216,Barringella,SAL10216,30,52,300,2624,2.6,2540,1919945,2.98,6,30,19,0.81,NSW
SAL10217,Barrington (NSW),SAL10217,394,55,270,1262,2.3,2422,564044,2.76,2,15,4,2.49,NSW
SAL10218,Barrington Tops,SAL10218,0,57,0,350,1,2422,1460061,7.02,11,44,6,0,NSW
SAL10219,Barry (Blayney - NSW),SAL10219,153,45,250,1437,2.4,2799,942296,-1.65,1,41,3,1.38,NSW
SAL10220,Barry (Tamworth Regional - NSW),SAL10220,0,26,0,0,0,2340,609556,1.2,13,16,10,0,NSW
SAL10221,Barwang,SAL10221,139,46,250,1875,2.6,2594,2075557,3.97,3,35,6,0.63,NSW
SAL10222,Baryulgil,SAL10222,20,49,0,725,3.4,2460,2430267,4.05,2,23,18,0,NSW
SAL10223,Basin View,SAL10223,1583,48,360,1244,2.4,2540,1267595,2.8,4,38,16,1.48,NSW
SAL10224,Bass Hill,SAL10224,10230,34,450,1411,3.3,2197,700235,6.16,3,55,14,3.34,NSW
SAL10225,Bassendean (NSW),SAL10225,5,22,0,0,4,2365,525939,-1.37,9,53,10,0,NSW
SAL10226,Batar Creek,SAL10226,93,51,0,2071,2.8,2439,1701482,6.15,5,56,3,0,NSW
SAL10227,Bateau Bay,SAL10227,12516,42,400,1475,2.5,2261,1042335,2.95,4,21,3,2,NSW
SAL10228,Batehaven,SAL10228,1911,54,320,1128,2,2536,1836825,-0.66,10,44,12,0.91,NSW
SAL10229,Batemans Bay,SAL10229,1573,53,285,791,1.8,2536,575766,6.86,9,59,4,2.57,NSW
SAL10230,Bathampton,SAL10230,40,54,225,1625,2.5,2795,908923,4.49,4,16,4,1.29,NSW
SAL10231,Bathurst,SAL10231,7001,41,300,1209,1.9,2795,1963768,-0.36,6,26,11,0.79,NSW
SAL10232,Batlow,SAL10232,1270,49,180,1064,2.2,2730,1068550,-1.66,14,27,3,0.88,NSW
SAL10233,Baulkham Hills,SAL10233,37415,39,520,2474,3,2153,887261,-0.59,10,17,2,3.05,NSW
SAL10234,Baw Baw (NSW),SAL10234,271,45,405,2178,2.8,2580,1310208,4.09,1,57,7,1.61,NSW
SAL10235,Bawley Point,SAL10235,844,56,325,1240,2.2,2539,1185440,-0.21,13,54,7,1.43,NSW
SAL10236,Baxters Ridge,SAL10236,0,0,0,0,0,2422,2201240,0.26,2,57,12,0,NSW
SAL10237,Bayview (NSW),SAL10237,3807,58,850,1885,2.3,2104,1484346,-1.75,4,32,17,2.98,NSW
SAL10238,Beacon Hill,SAL10238,7814,41,730,2937,3.2,2100,2003165,5.23,9,53,2,1.9,NSW
SAL10239,Beaconsfield (NSW),SAL10239,1172,33,650,3061,2.4,2015,637848,6.1,6,58,6,5.3,NSW
SAL10240,Bean Creek,SAL10240,56,59,150,762,2.1,2469,1117075,5.97,6,20,11,0.7,NSW
SAL10241,Bearbong,SAL10241,72,38,700,1437,3.1,2827,627948,-0.72,11,56,7,5.8,NSW
