SAL_ID,Suburb_Name,SAL_CODE_2021,Population,Median_Age,Median_Rent_Weekly,Median_Income_Weekly,HH_Size,Postcode,Median_House_Price,One_Year_Growth_Pct,School_Count,Commute_Time_Mins,Parks_Count,Rental_Yield_Pct
SAL10041,Allworth,SAL10041,190,48,300,1213,2.2,10041,2419486,3.3,11,51,3,0.64
SAL10042,Allynbrook,SAL10042,54,64,587,1083,1.9,10042,1933257,2.16,10,50,14,1.58
SAL10043,Alma Park,SAL10043,58,50,185,1833,2.8,10043,1698079,6.5,1,39,6,0.57
SAL10044,Alpine,SAL10044,141,49,300,2291,2.8,10044,1154811,0.3,12,59,18,1.35
SAL10045,Alstonvale,SAL10045,431,53,310,2038,2.6,10045,1027035,0.4,11,19,7,1.57
SAL10046,Alstonville,SAL10046,5912,51,380,1312,2.3,10046,1148143,1.73,6,47,18,1.72
SAL10047,Alumy Creek,SAL10047,86,41,310,1281,2.6,10047,2000942,0.3,5,36,3,0.81
SAL10048,Amaroo (NSW),SAL10048,44,45,240,2166,2.7,10048,565725,3.61,10,56,8,2.21
SAL10049,Ambarvale,SAL10049,7254,34,350,1431,2.8,10049,1678557,-0.66,7,39,18,1.08
SAL10050,Amosfield,SAL10050,40,63,0,1249,1.9,10050,584654,1.2,7,57,9,0.0
SAL10051,Anabranch North,SAL10051,6,33,0,3250,1.7,10051,1453277,7.13,3,43,2,0.0
SAL10052,Anabranch South,SAL10052,41,46,0,1125,2.7,10052,2454354,2.09,7,59,6,0.0
SAL10053,Anambah,SAL10053,64,37,525,3049,3.4,10053,1091723,5.48,9,44,6,2.5
SAL10054,Ando,SAL10054,49,51,163,2250,2.8,10054,819030,-0.87,8,44,2,1.03
SAL10055,Anembo,SAL10055,72,48,129,2083,2.5,10055,1877523,0.48,3,58,11,0.36
SAL10056,Angledale,SAL10056,167,50,260,1474,2.5,10056,1055839,6.07,10,45,11,1.28
SAL10057,Angledool,SAL10057,34,56,50,825,1.6,10057,2451224,5.63,5,48,4,0.11
SAL10058,Anglers Reach,SAL10058,78,65,195,900,1.9,10058,773538,1.86,13,42,13,1.31
SAL10059,Angourie,SAL10059,192,58,520,1437,2.3,10059,831236,7.54,13,24,13,3.25
SAL10060,Angus,SAL10060,384,45,350,1890,3.0,10060,1028178,7.11,14,18,8,1.77
SAL10061,Anna Bay,SAL10061,4221,52,390,1189,2.3,10061,1065894,7.62,8,47,17,1.9
SAL10062,Annandale (NSW),SAL10062,9487,38,570,2683,2.3,10062,989492,2.28,2,31,4,3.0
SAL10063,Annangrove,SAL10063,1472,44,500,2650,3.5,10063,1805416,-0.03,14,25,8,1.44
SAL10064,Appin (NSW),SAL10064,3213,33,450,2423,3.2,10064,973254,4.27,14,21,15,2.4
SAL10065,Apple Tree Flat,SAL10065,46,49,480,1375,2.4,10065,849457,4.85,7,31,5,2.94
SAL10066,Appleby,SAL10066,35,41,345,1812,3.5,10066,1165987,-0.75,11,42,11,1.54
SAL10067,Appletree Flat,SAL10067,16,33,285,1375,2.6,10067,1819512,5.86,10,31,3,0.81
SAL10068,Apsley (NSW),SAL10068,116,47,300,1437,2.5,10068,1788507,-1.82,10,55,17,0.87
SAL10069,Arable,SAL10069,21,46,350,3125,2.4,10069,1788205,2.83,7,24,4,1.02
SAL10070,Arakoon,SAL10070,445,59,400,1321,2.2,10070,1753617,1.31,11,40,16,1.19
SAL10071,Araluen (NSW),SAL10071,209,53,225,1042,2.1,10071,1198361,5.4,12,20,9,0.98
SAL10072,Aratula (NSW),SAL10072,4,54,0,0,4.0,10072,2280488,1.13,14,31,17,0.0
SAL10073,Arcadia (NSW),SAL10073,1475,46,485,2659,3.2,10073,1965689,6.27,13,30,12,1.28
SAL10074,Arcadia Vale,SAL10074,1431,45,385,1550,2.5,10074,568148,3.95,8,53,12,3.52
SAL10075,Ardglen,SAL10075,50,58,100,1041,2.1,10075,2325665,5.94,1,40,12,0.22
SAL10076,Arding,SAL10076,182,53,210,1328,2.3,10076,1148531,7.89,8,18,2,0.95
SAL10077,Ardlethan,SAL10077,472,55,150,786,2.0,10077,1800571,4.79,14,34,3,0.43
SAL10078,Argalong,SAL10078,16,44,0,1999,2.7,10078,1406606,7.85,1,55,2,0.0
SAL10079,Argenton,SAL10079,1352,40,350,1318,2.3,10079,1178843,-1.71,3,25,11,1.54
SAL10080,Argents Hill,SAL10080,207,52,202,1042,2.3,10080,2459366,1.38,9,37,12,0.43
SAL10081,Argoon,SAL10081,16,45,0,2750,3.5,10081,1072843,-0.92,4,47,13,0.0
SAL10082,Ariah Park,SAL10082,439,51,160,1010,2.3,10082,756508,0.62,10,45,11,1.1
SAL10083,Arkell,SAL10083,36,47,250,1593,2.9,10083,1303591,6.39,13,21,8,1.0
SAL10084,Arkstone,SAL10084,24,41,0,1625,3.5,10084,1396942,-1.68,9,36,9,0.0
SAL10085,Armatree,SAL10085,164,43,100,1333,2.5,10085,606530,3.2,1,19,12,0.86
SAL10086,Armidale,SAL10086,23967,36,290,1432,2.3,10086,1104365,3.67,8,51,19,1.37
SAL10087,Arncliffe,SAL10087,12023,34,500,2046,2.7,10087,2370928,3.61,3,15,17,1.1
SAL10088,Arndell Park,SAL10088,6,45,530,1375,1.3,10088,960337,2.75,11,20,2,2.87
SAL10089,Arrawarra,SAL10089,591,66,200,718,1.9,10089,2273415,5.91,7,59,7,0.46
SAL10090,Arrawarra Headland,SAL10090,615,47,373,1605,2.7,10090,1305889,-0.66,2,18,18,1.49
SAL10091,Artarmon,SAL10091,9417,37,525,2420,2.5,10091,2008349,1.11,13,44,14,1.36
SAL10092,Arthurville,SAL10092,47,46,0,2166,2.8,10092,708261,4.16,7,44,11,0.0
SAL10093,Arumpo,SAL10093,40,35,25,1843,2.8,10093,2313045,4.91,7,31,11,0.06
SAL10094,Ashbury,SAL10094,3353,44,600,2571,2.9,10094,1889673,2.04,9,38,2,1.65
SAL10095,Ashby (NSW),SAL10095,316,61,350,1113,2.0,10095,1863715,6.75,2,45,8,0.98
SAL10096,Ashby Heights,SAL10096,292,55,310,1233,2.4,10096,1720405,2.15,8,42,10,0.94
SAL10097,Ashby Island,SAL10097,18,57,0,1024,2.3,10097,771836,2.03,5,59,12,0.0
SAL10098,Ashcroft,SAL10098,3634,32,295,1089,3.1,10098,1987550,-1.64,10,57,3,0.77
SAL10099,Ashfield (NSW),SAL10099,23012,36,440,1888,2.3,10099,1489913,3.51,9,18,2,1.54
SAL10100,Ashford (NSW),SAL10100,659,54,185,855,2.2,10100,702283,5.09,8,53,13,1.37
SAL10101,Ashley,SAL10101,351,34,280,1899,2.7,10101,696769,-0.86,3,33,8,2.09
SAL10102,Ashmont,SAL10102,3747,36,220,994,2.3,10102,1061353,1.05,3,38,6,1.08
SAL10103,Ashtonfield,SAL10103,4589,39,440,2148,2.8,10103,1771741,5.81,11,21,13,1.29
SAL10104,Asquith,SAL10104,6160,36,490,2300,2.7,10104,2172163,1.66,12,23,15,1.17
SAL10105,Atholwood,SAL10105,68,50,84,1406,2.6,10105,1546797,0.42,10,36,8,0.28
SAL10106,Attunga,SAL10106,542,43,300,1428,2.5,10106,1450110,4.72,8,16,9,1.08
SAL10107,Auburn (NSW),SAL10107,39333,31,410,1533,3.3,10107,2084398,-0.03,9,41,15,1.02
SAL10108,Auburn Vale,SAL10108,127,47,335,1812,2.8,10108,987879,6.96,2,30,13,1.76
SAL10109,Austinmer,SAL10109,2725,42,550,2586,2.8,10109,1064685,-0.94,3,19,10,2.69
SAL10110,Austral,SAL10110,6847,31,520,2168,3.1,10110,1282038,5.07,14,26,11,2.11
SAL10111,Austral Eden,SAL10111,145,52,260,1375,2.7,10111,1902107,3.0,14,40,11,0.71
SAL10112,Avalon Beach,SAL10112,10379,46,700,2481,2.8,10112,1811736,6.7,8,29,2,2.01
SAL10113,Avisford,SAL10113,45,50,380,1124,2.4,10113,1507293,-0.74,2,17,7,1.31
SAL10114,Avoca (NSW),SAL10114,208,54,330,2250,2.7,10114,1079879,4.78,8,23,15,1.59
SAL10115,Avoca Beach,SAL10115,4708,43,530,2358,2.8,10115,1769460,3.72,5,42,10,1.56
SAL10116,Avon (NSW),SAL10116,0,0,0,0,0.0,10116,523247,2.8,6,53,13,0.0
SAL10117,Avondale (NSW),SAL10117,1695,40,300,1524,2.4,10117,1572876,2.91,14,50,13,0.99
SAL10118,Avonside,SAL10118,157,47,500,2250,2.7,10118,2015857,5.22,10,39,14,1.29
SAL10119,Awaba,SAL10119,430,40,300,1726,2.8,10119,1107086,7.38,12,55,4,1.41
SAL10120,Aylmerton,SAL10120,195,51,430,1825,2.3,10120,1033556,-1.09,4,42,12,2.16
SAL10121,Baan Baa,SAL10121,166,47,300,1770,2.5,10121,1897527,-1.8,3,35,3,0.82
SAL10122,Babinda (NSW),SAL10122,14,59,200,1875,1.9,10122,1822905,6.06,8,43,19,0.57
SAL10123,Babyl Creek,SAL10123,4,64,0,575,1.0,10123,2267640,-0.92,9,39,19,0.0
SAL10124,Back Creek (Bland - NSW),SAL10124,54,29,133,2250,3.4,10124,1242139,7.87,13,44,10,0.56
SAL10125,Back Creek (Gwydir - NSW),SAL10125,20,42,0,2250,3.6,10125,932315,4.19,8,53,2,0.0
SAL10126,Back Creek (Mid-Coast - NSW),SAL10126,20,62,0,1375,2.4,10126,1426075,4.51,9,25,17,0.0
SAL10127,Back Creek (Queanbeyan-Palerang Regional - NSW),SAL10127,7,60,380,900,1.8,10127,1016588,-0.01,1,33,2,1.94
SAL10128,Back Creek (Tenterfield - NSW),SAL10128,4,69,81,575,1.0,10128,1785160,0.4,5,25,6,0.24
SAL10129,Back Creek (Tweed - NSW),SAL10129,27,48,350,1062,2.6,10129,2110908,4.59,12,39,18,0.86
SAL10130,Back Forest,SAL10130,91,56,252,1374,2.9,10130,2386222,7.1,7,15,9,0.55
SAL10131,Backmede,SAL10131,153,46,276,1843,2.8,10131,1478732,7.82,8,46,7,0.97
SAL10132,Backwater,SAL10132,19,64,0,900,1.9,10132,1925472,-0.02,14,35,2,0.0
SAL10133,Badgerys Creek,SAL10133,168,40,505,1271,3.0,10133,548984,-0.66,11,59,14,4.78
SAL10134,Badja,SAL10134,9,74,0,1187,1.7,10134,802918,-1.44,2,27,19,0.0
SAL10135,Baerami,SAL10135,93,48,245,1208,2.5,10135,764712,6.68,12,48,5,1.67
SAL10136,Baerami Creek,SAL10136,27,41,250,1416,2.6,10136,1668727,0.95,11,31,16,0.78
SAL10137,Bagnoo,SAL10137,43,59,275,1437,2.3,10137,2004384,-1.98,14,33,15,0.71
SAL10138,Bago,SAL10138,45,37,345,2083,3.4,10138,633767,0.24,4,24,17,2.83
SAL10139,Bagotville,SAL10139,60,50,450,1749,2.4,10139,1148663,1.4,7,56,6,2.04
SAL10140,Bakers Creek (Mid-Coast - NSW),SAL10140,41,52,250,1375,2.6,10140,2252126,7.91,5,23,2,0.58
SAL10141,Bakers Creek (Nambucca Valley - NSW),SAL10141,24,57,100,366,1.5,10141,636330,3.24,1,25,5,0.82
SAL10142,Bakers Creek (Uralla - NSW),SAL10142,13,59,0,1937,2.3,10142,980754,0.05,13,52,18,0.0
SAL10143,Bakers Swamp,SAL10143,60,49,180,1791,2.2,10143,1850224,1.35,14,45,7,0.51
SAL10144,Balaclava (NSW),SAL10144,574,40,500,2023,2.9,10144,2237095,1.3,2,16,5,1.16
SAL10145,Balala,SAL10145,122,56,175,1375,2.2,10145,513986,-1.8,5,38,8,1.77
SAL10146,Balcolyn,SAL10146,1002,43,390,1525,2.5,10146,1086146,-0.65,6,56,2,1.87
SAL10147,Bald Blair,SAL10147,53,34,300,1416,3.1,10147,1677888,4.95,1,19,11,0.93
SAL10148,Bald Hills (NSW),SAL10148,321,44,375,1487,2.7,10148,512666,-0.8,12,44,14,3.8
SAL10149,Bald Nob,SAL10149,20,44,205,1375,2.7,10149,1849380,0.31,3,53,10,0.58
SAL10150,Bald Ridge,SAL10150,17,25,200,1574,2.5,10150,634633,1.51,6,49,15,1.64
SAL10151,Baldersleigh,SAL10151,55,49,0,1562,2.2,10151,788998,5.58,6,31,2,0.0
SAL10152,Baldry,SAL10152,67,37,171,1625,3.0,10152,1350937,3.82,7,45,10,0.66
SAL10153,Balfours Peak,SAL10153,45,43,225,1012,3.0,10153,1128776,4.89,10,16,7,1.04
SAL10154,Balgowlah,SAL10154,8068,41,640,2681,2.5,10154,2256187,3.67,12,30,11,1.48
SAL10155,Balgowlah Heights,SAL10155,3546,43,1320,4687,3.3,10155,1833382,4.84,14,35,12,3.74
SAL10156,Balgownie,SAL10156,5722,42,450,1912,2.6,10156,2343400,-1.97,14,44,8,1.0
SAL10157,Balickera,SAL10157,18,37,100,2749,3.5,10157,1579111,7.31,3,15,13,0.33
SAL10158,Balladoran,SAL10158,140,48,150,1350,2.8,10158,1496107,-0.89,1,28,13,0.52
SAL10159,Ballalaba,SAL10159,29,52,255,1125,2.3,10159,1924289,2.06,13,30,15,0.69
SAL10160,Balldale,SAL10160,168,47,100,1218,2.3,10160,1338688,5.71,7,23,11,0.39
SAL10161,Ballengarra,SAL10161,97,45,400,1483,2.9,10161,851279,2.35,12,22,17,2.44
SAL10162,Ballimore,SAL10162,240,43,240,1857,2.6,10162,1413910,7.47,11,23,5,0.88
SAL10163,Ballina,SAL10163,9735,56,360,1013,2.0,10163,2370230,2.68,3,48,15,0.79
SAL10164,Ballyroe,SAL10164,3,54,0,725,1.0,10164,2150237,6.75,5,59,3,0.0
SAL10165,Balmain,SAL10165,10454,42,625,3039,2.2,10165,2196548,6.11,4,47,3,1.48
SAL10166,Balmain East,SAL10166,1900,46,617,3020,2.2,10166,989570,7.81,12,36,12,3.24
SAL10167,Balmoral (Lake Macquarie - NSW),SAL10167,730,45,380,1931,2.6,10167,2005127,7.27,1,44,12,0.99
SAL10168,Balmoral (Wingecarribee - NSW),SAL10168,469,43,415,2147,3.0,10168,1821685,6.98,12,21,7,1.18
SAL10169,Balranald,SAL10169,1240,47,200,1197,2.3,10169,524538,5.32,7,32,4,1.98
SAL10170,Bamarang,SAL10170,35,53,260,949,2.8,10170,1394498,1.67,14,35,10,0.97
SAL10171,Banda Banda,SAL10171,0,0,0,0,0.0,10171,701664,-0.94,13,19,4,0.0
SAL10172,Bandon Grove,SAL10172,135,51,272,1624,2.8,10172,991234,4.89,4,21,2,1.43
SAL10173,Bangadang,SAL10173,11,23,0,1499,3.5,10173,2448260,7.79,1,26,3,0.0
SAL10174,Bangalee (NSW),SAL10174,818,46,450,2181,2.9,10174,639182,5.27,11,31,16,3.66
SAL10175,Bangalow,SAL10175,2752,40,650,2097,2.7,10175,2021101,7.29,6,38,12,1.67
SAL10176,Bangheet,SAL10176,37,56,0,1562,2.0,10176,1706914,6.04,4,51,9,0.0
SAL10177,Bango,SAL10177,122,43,650,2625,2.6,10177,684064,-0.37,13,58,17,4.94
SAL10178,Bangor (NSW),SAL10178,5536,43,650,2626,2.9,10178,714020,0.49,4,33,18,4.73
SAL10179,Banksia,SAL10179,3277,41,500,2018,2.8,10179,1539577,1.42,2,59,4,1.69
SAL10180,Banksmeadow,SAL10180,508,33,620,2225,2.0,10180,1123094,-0.32,1,30,9,2.87
SAL10181,Bankstown,SAL10181,34933,34,400,1331,2.9,10181,2472990,3.82,3,39,8,0.84
SAL10182,Bankstown Aerodrome,SAL10182,5,69,225,1999,2.0,10182,1397421,7.75,10,41,4,0.84
SAL10183,Bannaby,SAL10183,47,52,0,1125,2.2,10183,1115270,5.61,5,56,8,0.0
SAL10184,Bannister (NSW),SAL10184,141,52,660,2250,2.4,10184,2194490,2.23,12,58,6,1.56
SAL10185,Banoon,SAL10185,19,52,150,1208,2.0,10185,1667752,-1.95,9,21,2,0.47
SAL10186,Banora Point,SAL10186,16460,49,440,1268,2.4,10186,1417710,1.13,14,56,6,1.61
SAL10187,Banyabba,SAL10187,31,56,450,1312,2.1,10187,1766702,3.27,7,22,4,1.32
SAL10188,Bar Beach,SAL10188,1292,41,393,2300,2.3,10188,718969,1.24,4,29,19,2.84
SAL10189,Bar Point,SAL10189,122,52,300,1125,1.7,10189,622409,-0.89,8,30,11,2.51
SAL10190,Bara,SAL10190,19,51,280,1125,1.8,10190,2096283,2.43,12,22,5,0.69
SAL10191,Baradine,SAL10191,783,50,157,1034,2.2,10191,753618,0.53,4,50,14,1.08
SAL10192,Barangaroo,SAL10192,220,40,1246,4591,1.8,10192,1269598,7.09,6,46,2,5.1
SAL10193,Barcoongere,SAL10193,0,25,0,0,0.0,10193,1598591,-0.98,12,31,5,0.0
SAL10194,Barden Ridge,SAL10194,4129,41,685,3134,3.3,10194,1272838,-1.51,1,50,10,2.8
SAL10195,Bardia,SAL10195,5747,30,550,2417,3.5,10195,1670672,-1.95,14,36,18,1.71
SAL10196,Bardwell Park,SAL10196,2320,42,550,2386,2.8,10196,2179923,1.28,6,46,12,1.31
SAL10197,Bardwell Valley,SAL10197,2344,42,550,2099,2.9,10197,1733916,4.6,10,25,8,1.65
SAL10198,Barellan,SAL10198,459,48,200,1262,2.2,10198,1659263,5.3,5,59,8,0.63
SAL10199,Bargo,SAL10199,4516,41,410,1736,2.8,10199,1374371,2.53,14,20,14,1.55
SAL10200,Barham,SAL10200,1569,58,185,995,2.1,10200,1959933,4.84,2,36,18,0.49
SAL10201,Barigan,SAL10201,0,0,0,0,0.0,10201,1235716,1.6,1,28,19,0.0
SAL10202,Barkers Vale,SAL10202,196,50,260,784,2.4,10202,1654454,4.68,13,42,14,0.82
SAL10203,Barmedman,SAL10203,404,48,190,864,2.4,10203,2275846,-1.59,6,53,18,0.43
SAL10204,Barneys Reef,SAL10204,0,0,0,0,0.0,10204,1473548,1.91,11,26,19,0.0
SAL10205,Barnsley,SAL10205,1735,39,360,1784,2.7,10205,1746862,5.91,2,41,3,1.07
SAL10206,Barooga,SAL10206,1888,46,260,1375,2.3,10206,1273290,6.03,9,15,16,1.06
SAL10207,Barraba,SAL10207,1329,58,195,776,1.9,10207,2323260,5.16,9,24,10,0.44
SAL10208,Barrack Heights,SAL10208,6003,41,380,1340,2.5,10208,1713475,0.04,1,47,15,1.15
SAL10209,Barrack Point,SAL10209,725,48,480,1836,2.6,10209,1873343,0.47,5,30,9,1.33
SAL10210,Barraganyatti,SAL10210,150,45,310,1149,2.6,10210,1499238,7.96,8,53,13,1.08
SAL10211,Barragga Bay,SAL10211,91,63,242,1187,2.1,10211,1361882,-0.97,4,20,18,0.92
SAL10212,Barratta (NSW),SAL10212,12,41,0,2249,1.8,10212,2428434,-0.19,3,39,13,0.0
SAL10213,Barren Grounds,SAL10213,0,0,0,0,0.0,10213,879989,-0.7,5,34,16,0.0
SAL10214,Barrengarry,SAL10214,214,50,415,2062,2.5,10214,915515,1.28,5,50,6,2.36
SAL10215,Barretts Creek,SAL10215,12,55,180,749,3.0,10215,543585,0.1,8,37,3,1.72
SAL10216,Barringella,SAL10216,30,52,300,2624,2.6,10216,1919945,2.98,6,30,19,0.81
SAL10217,Barrington (NSW),SAL10217,394,55,270,1262,2.3,10217,564044,2.76,2,15,4,2.49
SAL10218,Barrington Tops,SAL10218,0,57,0,350,1.0,10218,1460061,7.02,11,44,6,0.0
SAL10219,Barry (Blayney - NSW),SAL10219,153,45,250,1437,2.4,10219,942296,-1.65,1,41,3,1.38
SAL10220,Barry (Tamworth Regional - NSW),SAL10220,0,26,0,0,0.0,10220,609556,1.2,13,16,10,0.0
SAL10221,Barwang,SAL10221,139,46,250,1875,2.6,10221,2075557,3.97,3,35,6,0.63
SAL10222,Baryulgil,SAL10222,20,49,0,725,3.4,10222,2430267,4.05,2,23,18,0.0
SAL10223,Basin View,SAL10223,1583,48,360,1244,2.4,10223,1267595,2.8,4,38,16,1.48
SAL10224,Bass Hill,SAL10224,10230,34,450,1411,3.3,10224,700235,6.16,3,55,14,3.34
SAL10225,Bassendean (NSW),SAL10225,5,22,0,0,4.0,10225,525939,-1.37,9,53,10,0.0
SAL10226,Batar Creek,SAL10226,93,51,0,2071,2.8,10226,1701482,6.15,5,56,3,0.0
SAL10227,Bateau Bay,SAL10227,12516,42,400,1475,2.5,10227,1042335,2.95,4,21,3,2.0
SAL10228,Batehaven,SAL10228,1911,54,320,1128,2.0,10228,1836825,-0.66,10,44,12,0.91
SAL10229,Batemans Bay,SAL10229,1573,53,285,791,1.8,10229,575766,6.86,9,59,4,2.57
SAL10230,Bathampton,SAL10230,40,54,225,1625,2.5,10230,908923,4.49,4,16,4,1.29
SAL10231,Bathurst,SAL10231,7001,41,300,1209,1.9,10231,1963768,-0.36,6,26,11,0.79
SAL10232,Batlow,SAL10232,1270,49,180,1064,2.2,10232,1068550,-1.66,14,27,3,0.88
SAL10233,Baulkham Hills,SAL10233,37415,39,520,2474,3.0,10233,887261,-0.59,10,17,2,3.05
SAL10234,Baw Baw (NSW),SAL10234,271,45,405,2178,2.8,10234,1310208,4.09,1,57,7,1.61
SAL10235,Bawley Point,SAL10235,844,56,325,1240,2.2,10235,1185440,-0.21,13,54,7,1.43
SAL10236,Baxters Ridge,SAL10236,0,0,0,0,0.0,10236,2201240,0.26,2,57,12,0.0
SAL10237,Bayview (NSW),SAL10237,3807,58,850,1885,2.3,10237,1484346,-1.75,4,32,17,2.98
SAL10238,Beacon Hill,SAL10238,7814,41,730,2937,3.2,10238,2003165,5.23,9,53,2,1.9
SAL10239,Beaconsfield (NSW),SAL10239,1172,33,650,3061,2.4,10239,637848,6.1,6,58,6,5.3
SAL10240,Bean Creek,SAL10240,56,59,150,762,2.1,10240,1117075,5.97,6,20,11,0.7
SAL10241,Bearbong,SAL10241,72,38,700,1437,3.1,10241,627948,-0.72,11,56,7,5.8
SAL10242,Beaumont (NSW),SAL10242,117,63,250,1875,2.4,10242,2127880,7.03,9,41,12,0.61
SAL10243,Beaumont Hills,SAL10243,9041,38,650,3308,3.5,10243,902690,4.72,12,29,17,3.74
SAL10244,Beckom,SAL10244,123,42,105,1125,2.7,10244,999046,6.98,4,29,14,0.55
SAL10245,Bective,SAL10245,194,49,305,1575,2.4,10245,951269,2.47,3,33,13,1.67
SAL10246,Bectric,SAL10246,53,41,200,1208,2.8,10246,521959,2.37,7,52,19,1.99
SAL10247,Bedgerabong,SAL10247,127,45,250,1375,2.5,10247,2209466,5.85,12,34,14,0.59
SAL10248,Beechwood,SAL10248,914,37,368,1516,2.8,10248,2298792,-1.07,7,34,6,0.83
SAL10249,Beecroft,SAL10249,10291,43,590,2962,3.0,10249,2454109,3.21,9,32,14,1.25
SAL10250,Beecroft Peninsula,SAL10250,0,66,0,725,1.0,10250,2338756,6.36,6,48,14,0.0
SAL10251,Beelbangera,SAL10251,358,39,250,1786,2.6,10251,728576,6.3,2,53,14,1.78
SAL10252,Beemunnel,SAL10252,34,38,0,2749,2.9,10252,1515602,7.56,6,51,12,0.0
SAL10253,Bega,SAL10253,5013,43,320,1196,2.3,10253,2086409,4.98,8,49,17,0.8
SAL10254,Beggan Beggan,SAL10254,128,31,175,2139,2.8,10254,1414091,0.08,6,52,15,0.64
SAL10255,Belanglo,SAL10255,22,53,0,2250,2.5,10255,665838,-1.8,9,52,11,0.0
SAL10256,Belbora,SAL10256,123,55,300,971,2.1,10256,1884250,2.79,4,15,3,0.83
